strata_id	layer1	layer2	layer3	layer4	layer5	layer6	acres	ageclass	modeled_strata	
BNNCCL	B	N	N	C	C	L	4121.0	8	true	
BNNCCM	B	N	N	C	C	M	1353.0	8	true	
BNNCCP	B	N	N	C	C	P	651.0	4	true	
BNNCCS	B	N	N	C	C	S	97.0	2	true	
BNNCDL	B	N	N	C	D	L	1725.0	8	true	
BNNCDM	B	N	N	C	D	M	540.0	8	true	
BNNCDP	B	N	N	C	D	P	77.0	null	true	
BNNCDS	B	N	N	C	D	S	84.0	2	true	
BNNCIL	B	N	N	C	I	L	247.0	8	true	
BNNCIM	B	N	N	C	I	M	61.0	8	true	
BNNCLL	B	N	N	C	L	L	181.0	8	true	
BNNCLM	B	N	N	C	L	M	92.0	8	true	
BNNCNN	B	N	N	C	N	N	1279.0	null	true	
BNNCPL	B	N	N	C	P	L	1268.0	8	true	
BNNCPM	B	N	N	C	P	M	909.0	8	true	
BNNCPP	B	N	N	C	P	P	142.0	null	true	
BNNCWL	B	N	N	C	W	L	4299.0	8	true	
BNNCWM	B	N	N	C	W	M	1664.0	8	true	
BNNCWP	B	N	N	C	W	P	310.0	4	true	
BNNCWS	B	N	N	C	W	S	107.0	2	true	
BNNHCL	B	N	N	H	C	L	71.0	8	true	
BNNLAL	B	N	N	L	A	L	378.0	9	true	
