strata_id	layer1	layer2	layer3	layer4	layer5	layer6	natural_growth_acres	prescribed_burn_acres	group_selection_acres	even_age_acres	mixed_severity_wildfire_acres
BRNLDM	B	R	N	L	D	M	101.65	0.0	0.0	0.0	5.35
BRNLDL	B	R	N	L	D	L	57.95	0.0	0.0	0.0	3.05
BRNLWP	B	R	N	L	W	P	0.0	0.0	0.0	100.7	5.3
BRNLWM	B	R	N	L	W	M	0.0	891.1	0.0	0.0	46.9
BRNLWL	B	R	N	L	W	L	0.0	1266.35	0.0	0.0	66.65
BRNLCP	B	R	N	L	C	P	0.0	0.0	0.0	76.0	4.0
BRNLCM	B	R	N	L	C	M	0.0	722.95	0.0	0.0	38.05
BRNLCL	B	R	N	L	C	L	1492.45	0.0	0.0	0.0	78.55
BRNLIM	B	R	N	L	I	M	0.0	0.0	106.4	0.0	5.6
BRNLIL	B	R	N	L	I	L	0.0	0.0	107.35	0.0	5.65
BRNLAM	B	R	N	L	A	M	0.0	0.0	185.25	0.0	9.75
BRNLAL	B	R	N	L	A	L	0.0	0.0	294.5	0.0	15.5
BRNLLM	B	R	N	L	L	M	63.65	0.0	0.0	0.0	3.35
BRNLNN	B	R	N	L	N	N	779.0	0.0	0.0	0.0	0.0
BRNHWP	B	R	N	H	W	P	0.0	0.0	0.0	122.55	6.45
BRNHWM	B	R	N	H	W	M	388.55	0.0	0.0	0.0	20.45
BRNHWL	B	R	N	H	W	L	670.7	0.0	0.0	0.0	35.3
BRNHCP	B	R	N	H	C	P	0.0	0.0	0.0	55.1	2.9
BRNHCM	B	R	N	H	C	M	0.0	0.0	483.55	0.0	25.45
BRNHCL	B	R	N	H	C	L	968.05	0.0	0.0	0.0	50.95
BRNHAM	B	R	N	H	A	M	54.15	0.0	0.0	0.0	2.85
BRNHLM	B	R	N	H	L	M	112.1	0.0	0.0	0.0	5.9
BRNCPP	B	R	N	C	P	P	0.0	0.0	0.0	52.25	2.75
BRNCPM	B	R	N	C	P	M	419.9	0.0	0.0	0.0	22.1
BRNCPL	B	R	N	C	P	L	0.0	795.15	0.0	0.0	41.85
BRNCDP	B	R	N	C	D	P	0.0	0.0	0.0	53.2	2.8
BRNCDM	B	R	N	C	D	M	358.15	0.0	0.0	0.0	18.85
BRNCDL	B	R	N	C	D	L	0.0	0.0	514.9	0.0	27.1
BRNCWS	B	R	N	C	W	S	0.0	0.0	0.0	154.85	8.15
BRNCWP	B	R	N	C	W	P	0.0	0.0	0.0	247.0	13.0
BRNCWM	B	R	N	C	W	M	0.0	1662.5	0.0	0.0	87.5
BRNCWL	B	R	N	C	W	L	0.0	0.0	2922.2	0.0	153.8
BRNCCS	B	R	N	C	C	S	0.0	0.0	0.0	98.8	5.2
BRNCCP	B	R	N	C	C	P	0.0	0.0	0.0	184.3	9.7
BRNCCM	B	R	N	C	C	M	937.65	0.0	0.0	0.0	49.35
BRNCCL	B	R	N	C	C	L	0.0	4466.9	0.0	0.0	235.1
BRNCIM	B	R	N	C	I	M	0.0	0.0	75.05	0.0	3.95
BRNCIL	B	R	N	C	I	L	0.0	0.0	227.05	0.0	11.95
BRNCAM	B	R	N	C	A	M	0.0	0.0	107.35	0.0	5.65
BRNCAL	B	R	N	C	A	L	0.0	0.0	130.15	0.0	6.85
BRNCLM	B	R	N	C	L	M	0.0	0.0	152.95	0.0	8.05
BRNCLL	B	R	N	C	L	L	0.0	0.0	133.0	0.0	7.0
BRNCNN	B	R	N	C	N	N	1412.0	0.0	0.0	0.0	0.0
BRNRPM	B	R	N	R	P	M	0.0	0.0	129.2	0.0	6.8
BRNRPL	B	R	N	R	P	L	64.6	0.0	0.0	0.0	3.4
BRNRDM	B	R	N	R	D	M	114.0	0.0	0.0	0.0	6.0
BRNRDL	B	R	N	R	D	L	0.0	0.0	298.3	0.0	15.7
BRNRWS	B	R	N	R	W	S	0.0	0.0	0.0	57.95	3.05
BRNRWP	B	R	N	R	W	P	0.0	0.0	0.0	121.6	6.4
BRNRWM	B	R	N	R	W	M	575.7	0.0	0.0	0.0	30.3
BRNRWL	B	R	N	R	W	L	0.0	0.0	1832.55	0.0	96.45
BRNRCP	B	R	N	R	C	P	0.0	0.0	0.0	105.45	5.55
BRNRCM	B	R	N	R	C	M	0.0	722.0	0.0	0.0	38.0
BRNRCL	B	R	N	R	C	L	0.0	2261.95	0.0	0.0	119.05
BRNRAL	B	R	N	R	A	L	75.05	0.0	0.0	0.0	3.95
BRNRLL	B	R	N	R	L	L	53.2	0.0	0.0	0.0	2.8
BRNRNN	B	R	N	R	N	N	0.0	0.0	0.0	1135.0	0.0
BROLCL	B	R	O	L	C	L	61.75	0.0	0.0	0.0	3.25
BROHCL	B	R	O	H	C	L	159.6	0.0	0.0	0.0	8.4
BROCPL	B	R	O	C	P	L	78.85	0.0	0.0	0.0	4.15
BROCDL	B	R	O	C	D	L	121.6	0.0	0.0	0.0	6.4
BROCWM	B	R	O	C	W	M	62.7	0.0	0.0	0.0	3.3
BROCWL	B	R	O	C	W	L	0.0	0.0	318.25	0.0	16.75
BROCCS	B	R	O	C	C	S	0.0	0.0	0.0	74.1	3.9
BROCCM	B	R	O	C	C	M	48.45	0.0	0.0	0.0	2.55
BROCCL	B	R	O	C	C	L	295.45	0.0	0.0	0.0	15.55
BRORPL	B	R	O	R	P	L	77.9	0.0	0.0	0.0	4.1
BRORDL	B	R	O	R	D	L	235.6	0.0	0.0	0.0	12.4
BRORWS	B	R	O	R	W	S	0.0	0.0	0.0	57.0	3.0
BRORWP	B	R	O	R	W	P	0.0	0.0	0.0	59.85	3.15
BRORWM	B	R	O	R	W	M	233.7	0.0	0.0	0.0	12.3
BRORWL	B	R	O	R	W	L	1204.6	0.0	0.0	0.0	63.4
BRORCS	B	R	O	R	C	S	0.0	0.0	0.0	55.1	2.9
BRORCP	B	R	O	R	C	P	0.0	0.0	0.0	66.5	3.5
BRORCM	B	R	O	R	C	M	342.0	0.0	0.0	0.0	18.0
