strata_id	layer1	layer2	layer3	layer4	layer5	layer6	acres	ageclass	modeled_strata	
BNNCAL	B	N	N	C	A	L	335.0	9	true	
BNNCAM	B	N	N	C	A	M	63.0	8	true	
BNNCAP	B	N	N	C	A	P	64.0	4	true	
BNNCCL	B	N	N	C	C	L	4121.0	8	true	
BNNCCM	B	N	N	C	C	M	1353.0	8	true	
BNNCCP	B	N	N	C	C	P	651.0	4	true	
BNNCCS	B	N	N	C	C	S	97.0	2	true	
BNNCDL	B	N	N	C	D	L	1725.0	8	true	
BNNCDM	B	N	N	C	D	M	540.0	8	true	
BNNCDP	B	N	N	C	D	P	77.0	null	true	
BNNCDS	B	N	N	C	D	S	84.0	2	true	
BNNCIL	B	N	N	C	I	L	247.0	8	true	
BNNCIM	B	N	N	C	I	M	61.0	8	true	
BNNCLL	B	N	N	C	L	L	181.0	8	true	
BNNCLM	B	N	N	C	L	M	92.0	8	true	
BNNCNN	B	N	N	C	N	N	1279.0	null	true	
BNNCPL	B	N	N	C	P	L	1268.0	8	true	
BNNCPM	B	N	N	C	P	M	909.0	8	true	
BNNCPP	B	N	N	C	P	P	142.0	null	true	
BNNCWL	B	N	N	C	W	L	4299.0	8	true	
BNNCWM	B	N	N	C	W	M	1664.0	8	true	
BNNCWP	B	N	N	C	W	P	310.0	4	true	
BNNCWS	B	N	N	C	W	S	107.0	2	true	
BNNHCL	B	N	N	H	C	L	71.0	8	true	
BNNLAL	B	N	N	L	A	L	378.0	9	true	
BNNLAM	B	N	N	L	A	M	157.0	8	true	
BNNLAS	B	N	N	L	A	S	86.0	1	true	
BNNLCL	B	N	N	L	C	L	1396.0	8	true	
BNNLCM	B	N	N	L	C	M	396.0	8	true	
BNNLCS	B	N	N	L	C	S	100.0	2	true	
BNNLDL	B	N	N	L	D	L	58.0	8	true	
BNNLIL	B	N	N	L	I	L	242.0	8	true	
BNNLIM	B	N	N	L	I	M	217.0	8	true	
BNNLIS	B	N	N	L	I	S	140.0	1	true	
BNNLLM	B	N	N	L	L	M	75.0	8	true	
BNNLNN	B	N	N	L	N	N	701.0	null	true	
BNNLPL	B	N	N	L	P	L	92.0	8	true	
BNNLWL	B	N	N	L	W	L	1144.0	8	true	
BNNLWM	B	N	N	L	W	M	337.0	8	true	
BNNLWP	B	N	N	L	W	P	64.0	4	true	
BNNLWS	B	N	N	L	W	S	75.0	2	true	
BNNRCL	B	N	N	R	C	L	1707.0	8	true	
BNNRCM	B	N	N	R	C	M	355.0	8	true	
BNNRDL	B	N	N	R	D	L	77.0	8	true	
BNNRNN	B	N	N	R	N	N	546.0	null	true	
BNNRPL	B	N	N	R	P	L	116.0	8	true	
BNNRWL	B	N	N	R	W	L	943.0	8	true	
BNNRWM	B	N	N	R	W	M	291.0	8	true	
BNNRWP	B	N	N	R	W	P	68.0	4	true	
BNOHCL	B	N	O	H	C	L	675.0	8	true	
BNOHCM	B	N	O	H	C	M	133.0	8	true	
BNOHWL	B	N	O	H	W	L	287.0	8	true	
BNORCL	B	N	O	R	C	L	2401.0	8	true	
BNORCM	B	N	O	R	C	M	385.0	8	true	
BNORDL	B	N	O	R	D	L	171.0	8	true	
BNORDM	B	N	O	R	D	M	90.0	8	true	
BNORNN	B	N	O	R	N	N	177.0	null	true	
BNORPL	B	N	O	R	P	L	127.0	8	true	
BNORWL	B	N	O	R	W	L	1338.0	8	true	
BNORWM	B	N	O	R	W	M	162.0	8	true	
BNORWP	B	N	O	R	W	P	70.0	4	true	
BNPCCL	B	N	P	C	C	L	78.0	8	true	
BNPHCL	B	N	P	H	C	L	478.0	8	true	
BNPHCM	B	N	P	H	C	M	135.0	8	true	
BNPHCP	B	N	P	H	C	P	56.0	4	true	
BNPHNN	B	N	P	H	N	N	142.0	null	true	
BNPHWL	B	N	P	H	W	L	245.0	8	true	
BNPHWM	B	N	P	H	W	M	90.0	8	true	
BNPRAL	B	N	P	R	A	L	118.0	9	true	
BNPRCL	B	N	P	R	C	L	1246.0	8	true	
BNPRCM	B	N	P	R	C	M	323.0	8	true	
BNPRCP	B	N	P	R	C	P	72.0	4	true	
BNPRDL	B	N	P	R	D	L	65.0	8	true	
BNPRNN	B	N	P	R	N	N	55.0	null	true	
BNPRPL	B	N	P	R	P	L	77.0	8	true	
BNPRWL	B	N	P	R	W	L	742.0	8	true	
BNPRWM	B	N	P	R	W	M	220.0	8	true	
BNPRWP	B	N	P	R	W	P	62.0	4	true	
BNSHCL	B	N	S	H	C	L	1617.0	8	true	
BNSHCM	B	N	S	H	C	M	293.0	8	true	
BNSHCP	B	N	S	H	C	P	65.0	4	true	
BNSHCS	B	N	S	H	C	S	109.0	2	true	
BNSHIL	B	N	S	H	I	L	57.0	8	true	
BNSHLL	B	N	S	H	L	L	104.0	8	true	
BNSHNN	B	N	S	H	N	N	67.0	null	true	
BNSHWL	B	N	S	H	W	L	974.0	8	true	
